OBJECTID,osm1,code1,region1,osm2,code2,region2,type
12369,597928318,5601,9,569345474,5114,5,adj
12548,4796291636,5621,9,569345474,5114,5,adj
12570,4796291641,5621,9,388696207,5114,5,adj
12579,4796291643,5621,9,388696207,5114,5,adj
12589,4796291644,5621,9,388696207,5114,5,adj
12633,4798293330,5621,9,358290454,5113,6,adj
12950,5309536565,5621,9,814296537,6103,12,adj
12951,5309536565,5621,9,817371315,6103,12,adj
13045,5395639258,5621,9,195743342,5114,8,adj
13046,5395639258,5621,9,36185332,5114,8,adj
13131,6121499166,5621,9,814296537,6103,12,adj
13132,6121499166,5621,9,817371315,6103,12,adj
13244,6937215656,5621,9,195743334,5114,8,adj
13246,6937215656,5621,9,584971419,5114,12,adj
13247,6937215656,5621,9,587061863,5114,12,adj
13248,6937215656,5621,9,760727187,5114,8,adj
13261,7066686015,5621,9,814296537,6103,12,adj
13262,7066686015,5621,9,817371315,6103,12,adj
13263,7066686015,5621,9,420886628,5114,12,adj
13283,7142969916,5601,9,569345474,5114,5,adj
13416,357620798,2082,9,195743334,5114,8,adj
13585,357650785,2204,9,5672515,5114,6,adj
13888,2357937212,2544,9,388696207,5114,5,adj
14192,2629371817,2566,9,5672515,5114,6,adj
14301,2629371851,2251,9,5672515,5114,6,adj
14426,2710091465,2301,9,195743342,5114,8,adj
14427,2710091465,2301,9,5670874,5114,8,adj
14429,2710091465,2301,9,5672290,5114,8,adj
14431,2710091465,2301,9,422298615,5114,5,adj
15411,3618689144,2517,9,375165501,5113,6,adj
15428,3708656575,2566,9,5672515,5114,6,adj
15655,4479054694,2303,9,440122867,5114,8,adj
15656,4479054694,2303,9,224424139,5152,8,adj
15968,5101131721,2502,9,375165501,5113,6,adj
16013,5215252922,2304,9,358290454,5113,6,adj
16153,5403598295,2301,9,169381960,5113,6,adj
16164,5403598295,2301,9,658157667,5152,6,adj
16297,5510161975,2518,9,814296537,6103,12,adj
16298,5510161975,2518,9,817371315,6103,12,adj
16309,5510187115,2568,9,814296537,6103,12,adj
16310,5510187115,2568,9,817371315,6103,12,adj
16321,5512636199,2568,9,814296537,6103,12,adj
16322,5512636199,2568,9,817371315,6103,12,adj
16370,5540462860,2301,9,814296537,6103,12,adj
16371,5540462860,2301,9,817371315,6103,12,adj
16436,5556738950,2568,9,814296537,6103,12,adj
16437,5556738950,2568,9,817371315,6103,12,adj
16454,5573612903,2543,9,814296537,6103,12,adj
16455,5573612903,2543,9,817371315,6103,12,adj
16466,5573636404,2303,9,814296537,6103,12,adj
16467,5573636404,2303,9,817371315,6103,12,adj
16640,5609682355,2566,9,814296537,6103,12,adj
16641,5609682355,2566,9,817371315,6103,12,adj
16642,5609682355,2566,9,420886628,5114,12,adj
16686,5618748373,2301,9,658006846,5153,12,adj
16688,5618748373,2301,9,658006853,5153,12,adj
16849,5672897884,2561,9,814296537,6103,12,adj
16850,5672897884,2561,9,817371315,6103,12,adj
16983,5714318113,2512,9,569345474,5114,5,adj
16991,5714372067,2203,9,375165501,5113,6,adj
17341,5802089255,2529,9,814296537,6103,12,adj
17342,5802089255,2529,9,817371315,6103,12,adj
17343,5802089255,2529,9,420886628,5114,12,adj
18603,6270653121,2301,9,440122867,5114,8,adj
18647,6343311740,2302,9,658006846,5153,12,adj
18649,6343311740,2302,9,658006853,5153,12,adj
18806,6389219613,2305,9,814296537,6103,12,adj
18807,6389219613,2305,9,817371315,6103,12,adj
18823,6403172120,2512,9,375165501,5113,6,adj
19095,6680686158,2525,9,569345474,5114,5,adj
19110,6680686159,2601,9,569345474,5114,5,adj
19588,6920873874,2004,9,195743334,5114,8,adj
19590,6920873874,2004,9,584971419,5114,12,adj
19591,6920873874,2004,9,587061863,5114,12,adj
19592,6920873874,2004,9,760727187,5114,8,adj
19595,6920898110,2004,9,440122867,5114,8,adj
19597,6920898112,2004,9,195743339,5114,8,adj
19599,6920898112,2004,9,435188577,5153,8,adj
19601,6920898112,2004,9,435188583,5153,8,adj
19603,6920898112,2004,9,561816395,5152,8,adj
19605,6920898112,2004,9,587061856,5114,8,adj
19612,6937215654,2004,9,195743339,5114,8,adj
20225,7618664791,2004,9,195743334,5114,8,adj
20226,7618664791,2004,9,440122867,5114,8,adj
20227,7618664791,2004,9,224424139,5152,8,adj
20767,357650737,2204,9,2389587,8200,13,adj
20770,368045890,2014,9,2389587,8200,13,adj
23075,5669236,5114,9,499914751,5114,12,adj
23078,5669236,5114,9,658006851,5153,12,adj
23080,5669236,5114,9,226015240,5152,12,adj
23089,5669236,5114,9,658006853,5153,12,adj
23143,5669709,5114,9,5672515,5114,6,adj
23176,5669841,5122,9,195743339,5114,8,adj
23290,5670029,5122,9,195743342,5114,8,adj
23291,5670029,5122,9,36185332,5114,8,adj
23300,5670186,5111,9,499914751,5114,12,adj
23304,5670186,5111,9,658006851,5153,12,adj
23306,5670186,5111,9,32961934,5111,12,adj
23307,5670186,5111,9,226015240,5152,12,adj
23315,5670186,5111,9,658006853,5153,12,adj
23324,5670236,5122,9,420886628,5114,12,adj
23326,5670236,5122,9,592374690,5114,12,adj
23332,5670236,5122,9,658006846,5153,12,adj
23334,5670236,5122,9,658006853,5153,12,adj
23433,5670572,5122,9,195743339,5114,8,adj
23504,5670874,5114,8,817383471,6103,9,adj
23505,5670874,5114,8,817383474,6103,9,adj
23508,5670874,5114,8,458180198,5114,9,adj
23515,5671222,5122,9,814296537,6103,12,adj
23516,5671222,5122,9,817371315,6103,12,adj
23525,5671248,5122,9,195743334,5114,8,adj
23564,5671357,5122,9,440122867,5114,8,adj
23629,5671574,5114,9,195743342,5114,8,adj
23630,5671574,5114,9,5672290,5114,8,adj
23633,5671623,5122,9,195743334,5114,8,adj
23749,5672290,5114,8,198595461,5122,9,adj
23750,5672290,5114,8,817383471,6103,9,adj
23751,5672290,5114,8,817383474,6103,9,adj
23753,5672290,5114,8,5671574,5114,9,adj
23754,5672290,5114,8,422298615,5114,5,adj
23774,5672411,5122,9,440122867,5114,8,adj
23795,5672515,5114,6,46372158,5152,9,adj
23796,5672515,5114,6,198924625,5111,9,adj
23797,5672515,5114,6,198924626,5111,9,adj
23798,5672515,5114,6,198924628,5111,9,adj
23799,5672515,5114,6,198924631,5111,9,adj
23800,5672515,5114,6,198924632,5111,9,adj
23801,5672515,5114,6,817383471,6103,9,adj
23802,5672515,5114,6,817383474,6103,9,adj
23803,5672515,5114,6,420357249,5114,9,adj
23804,5672515,5114,6,5669709,5114,9,adj
23805,5672515,5114,6,34769021,5111,9,adj
23806,5672515,5114,6,46211831,5122,9,adj
23807,5672515,5114,6,46211847,5111,9,adj
23808,5672515,5114,6,68668551,5114,9,adj
23809,5672515,5114,6,226015236,5153,9,adj
23810,5672515,5114,6,500906018,5153,9,adj
23811,5672515,5114,6,500906025,5153,9,adj
23812,5672515,5114,6,500906026,5153,9,adj
23813,5672515,5114,6,500906027,5153,9,adj
23814,5672515,5114,6,504052597,5153,9,adj
23815,5672515,5114,6,504052600,5153,9,adj
