<http://www.worldkg.org/resource/2366519599>	<http://www.worldkg.org/schema/delivery>	delivery-yes
<http://www.worldkg.org/resource/3874983057>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/6210240538>
<http://www.worldkg.org/resource/264669364>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/597821266>
<http://www.worldkg.org/resource/2366519595>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.opengis.net/ont/sf#Point>
<http://www.worldkg.org/resource/6171412797>	<http://www.worldkg.org/schema/website>	website-https://www.10thavenuepizza.com
<http://www.worldkg.org/resource/22914179>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/4243416298>
<http://www.worldkg.org/resource/5759451736>	<Point_transport-Adjacent-Line_roads>	<http://www.worldkg.org/resource/483704512>
<http://www.worldkg.org/resource/6169678322>	<http://www.worldkg.org/schema/openingHours>	openingHours-Mo-Su 07:00-22:00
<http://www.worldkg.org/resource/2409946234>	<http://www.worldkg.org/schema/phone>	phone-+1 212-257-4363
<http://www.worldkg.org/resource/22914179>	<Line_roads-Adjacent-Point_pofw>	<http://www.worldkg.org/resource/264651587>
<http://www.worldkg.org/resource/2409935351>	<RegionId>	4_2
<http://www.worldkg.org/resource/3792532817>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.opengis.net/ont/sf#Point>
<http://www.worldkg.org/resource/2377128182>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/7680594071>
<http://www.worldkg.org/resource/670519221>	<http://www.worldkg.org/schema/tigerReviewed>	tigerReviewed-no
<http://www.worldkg.org/resource/2409935351>	<Point_pois-Adjacent-Polygon_landuse>	<http://www.worldkg.org/resource/324852063>
<http://www.worldkg.org/resource/6210240538>	<Point_transport-Adjacent-Point_pois>	<http://www.worldkg.org/resource/5759451736>
<http://www.worldkg.org/resource/4850904721>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/2703242518>
<http://www.worldkg.org/resource/2366519599>	<http://www.w3.org/2000/01/rdf-schema#label>	New York Burger Co
<http://www.worldkg.org/resource/7680594076>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/2408375729>
<http://www.worldkg.org/resource/2703242518>	<http://www.worldkg.org/schema/postalCode>	postalCode-10001
<http://www.worldkg.org/resource/483704512>	<Point_pofw-Adjacent-Line_roads>	<http://www.worldkg.org/resource/264662215>
<http://www.worldkg.org/resource/257671578>	<Point_pois-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/264669364>
<http://www.worldkg.org/resource/387790424>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.opengis.net/ont/sf#Polygon>
<http://www.worldkg.org/resource/396444293>	<http://www.worldkg.org/schema/width>	width-69.5 ft
<http://www.worldkg.org/resource/2703242521>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/2703242519>
<http://www.worldkg.org/resource/2703169719>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/6169673876>
<http://www.worldkg.org/resource/116672333>	<http://www.worldkg.org/schema/wikipedia>	wikipedia-en:23rd Street (Manhattan)
<http://www.worldkg.org/resource/5620080125>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.opengis.net/ont/sf#Point>
<http://www.worldkg.org/resource/6139645147>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.opengis.net/ont/sf#Point>
<http://www.worldkg.org/resource/264651587>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.worldkg.org/schema/PlaceOfWorship>
<http://www.worldkg.org/resource/6169678322>	<http://www.worldkg.org/schema/addrPostcode>	addrPostcode-10001
<http://www.worldkg.org/resource/3792532817>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/2409946234>
<http://www.worldkg.org/resource/405049889>	<http://www.worldkg.org/schema/addrHousenumber>	addrHousenumber-430
<http://www.worldkg.org/resource/264651587>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.worldkg.org/schema/BuildingChurch>
<http://www.worldkg.org/resource/483704512>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/6169678322>
<http://www.worldkg.org/resource/2703242519>	<Point_transport-Adjacent-Point_pois>	<http://www.worldkg.org/resource/5759451736>
<http://www.worldkg.org/resource/6169673876>	<http://www.worldkg.org/schema/addrHousenumber>	addrHousenumber-245
<http://www.worldkg.org/resource/387790424>	<Point_pois-Adjacent-Polygon_landuse>	<http://www.worldkg.org/resource/2703169719>
<http://www.worldkg.org/resource/6169673876>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/2703169719>
<http://www.worldkg.org/resource/2366519594>	<http://www.w3.org/2000/01/rdf-schema#label>	Capital One
<http://www.worldkg.org/resource/264669366>	<Point_pofw-Adjacent-Line_roads>	<http://www.worldkg.org/resource/384178812>
<http://www.worldkg.org/resource/3874983057>	<http://www.w3.org/2000/01/rdf-schema#label>	Joe Coffee Company
<http://www.worldkg.org/resource/2377128182>	<http://www.worldkg.org/schema/brand>	brand-Starbucks
<http://www.worldkg.org/resource/5400496979>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/22914179>
<http://www.worldkg.org/resource/256082877>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.opengis.net/ont/sf#Point>
<http://www.worldkg.org/resource/5400496979>	<http://www.worldkg.org/schema/phone>	phone-+1-212-727-0888
<http://www.worldkg.org/resource/264669364>	<Point_pois-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/257671578>
<http://www.worldkg.org/resource/396444293>	<Line_roads-Adjacent-Polygon_landuse>	<http://www.worldkg.org/resource/324852063>
<http://www.worldkg.org/resource/2703242519>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/6169673876>
<http://www.worldkg.org/resource/2377128182>	<http://www.worldkg.org/schema/brandWikidata>	brandWikidata-Q37158
<http://www.worldkg.org/resource/116672333>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.opengis.net/ont/sf#Line>
<http://www.worldkg.org/resource/384178813>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/3874983057>
<http://www.worldkg.org/resource/6169673876>	<Point_pois-Adjacent-Polygon_landuse>	<http://www.worldkg.org/resource/387790424>
<http://www.worldkg.org/resource/597821266>	<http://www.worldkg.org/schema/maxspeed>	maxspeed-25 mph
<http://www.worldkg.org/resource/22914179>	<Line_roads-Adjacent-Line_roads>	<http://www.worldkg.org/resource/384178812>
<http://www.worldkg.org/resource/6053220685>	<http://www.worldkg.org/schema/cocktails>	cocktails-yes
<http://www.worldkg.org/resource/2366519596>	<http://www.worldkg.org/schema/toiletsWheelchair>	toiletsWheelchair-no
<http://www.worldkg.org/resource/2366519596>	<http://www.worldkg.org/schema/cuisine>	cuisine-diner
<http://www.worldkg.org/resource/264669362>	<http://www.worldkg.org/schema/addrPostcode>	addrPostcode-10011
<http://www.worldkg.org/resource/264669364>	<http://www.worldkg.org/schema/buildingLevels>	buildingLevels-22
<http://www.worldkg.org/resource/264669364>	<http://www.worldkg.org/schema/height>	height-60.0
<http://www.worldkg.org/resource/264669364>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/384178812>
<http://www.worldkg.org/resource/384178813>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/2409935353>
